network,latitude,longitude,cityname,countryname
1.0.0.0/16,-33.494,143.2104,,Australia
1.1.0.0/16,17.8148,103.3386,Ban Chan,Thailand
1.2.0.0/16,13.8667,100.1917,Nakhon Pathom,Thailand
1.3.0.0/16,13.8679,100.1891,Nakhon Pathom,Thailand
1.4.0.0/16,13.6687,100.579,Bangkok,Thailand
1.5.0.0/16,13.6659,100.5882,Bangkok,Thailand
1.6.0.0/16,12.9634,77.5855,Bengaluru,India
1.7.0.0/16,12.9691,77.5902,Bengaluru,India
1.8.0.0/16,12.9557,77.5843,Bengaluru,India
1.9.0.0/16,3.1539,101.7448,Ampang,Malaysia
1.10.0.0/16,17.8842,102.7394,Nong Khai,Thailand
1.11.0.0/16,37.5841,127.0616,Dongdaemun-gu,South Korea
1.12.0.0/16,37.5917,127.069,Dongdaemun-gu,South Korea
1.13.0.0/16,37.5814,127.0663,Dongdaemun-gu,South Korea
1.14.0.0/16,37.58,127.0609,Dongdaemun-gu,South Korea
1.15.0.0/16,37.5786,127.0678,Dongdaemun-gu,South Korea
1.16.0.0/16,37.5802,127.0644,Dongdaemun-gu,South Korea
1.17.0.0/16,37.5838,127.0617,Dongdaemun-gu,South Korea
1.18.0.0/16,37.5872,127.0651,Dongdaemun-gu,South Korea
1.19.0.0/16,37.5757,127.0658,Dongdaemun-gu,South Korea
1.20.0.0/16,13.5052,102.1872,Wang Nam Yen,Thailand
1.21.0.0/16,35.6384,139.6288,Kamiogi,Japan
1.22.0.0/16,12.9634,77.5855,Bengaluru,India
1.23.0.0/16,19.1963,72.9675,Thane,India
1.24.0.0/16,19.1954,72.9646,Thane,India
1.25.0.0/16,19.195,72.969,Thane,India
1.26.0.0/16,19.1874,72.965,Thane,India
1.27.0.0/16,19.2048,72.9588,Thane,India
1.28.0.0/16,19.1879,72.9592,Thane,India
